exercise_id,name,category,difficulty,duration_min,calories_burn_est,equipment,description
1,Exercise_1_crunch,Chest,Beginner,16,903,bodyweight,jump row push hold push squat pull press
2,Exercise_2_hold,Full Body,Intermediate,115,1118,none,curl press curl push pull row crunch hold
3,Exercise_3_push,Back,Beginner,36,910,resistance band,lift jump press jump lift lift lift press
4,Exercise_4_crunch,Cardio,Intermediate,34,1468,resistance band,hold squat squat squat squat press crunch jump
5,Exercise_5_press,Legs,Advanced,114,586,resistance band,lift run crunch squat squat row push press
6,Exercise_6_curl,Core,Advanced,16,1492,bodyweight,squat press hold crunch lift push pull crunch
7,Exercise_7_push,Chest,Intermediate,3,1348,bodyweight,squat lift push lift press squat lift press
8,Exercise_8_squat,Back,Intermediate,67,1111,barbell,run press lift curl lift press crunch jump
9,Exercise_9_press,Chest,Intermediate,96,503,machine,push press push curl curl run row crunch
10,Exercise_10_press,Shoulders,Beginner,51,1097,bodyweight,crunch jump push press crunch run pull hold
11,Exercise_11_press,Core,Advanced,94,878,none,run lift crunch lift hold crunch hold run
12,Exercise_12_squat,Cardio,Advanced,64,1287,machine,hold crunch pull press row lift jump jump
13,Exercise_13_lift,Shoulders,Beginner,67,537,dumbbell,jump crunch crunch row push squat press crunch
14,Exercise_14_squat,Shoulders,Beginner,87,1253,bodyweight,hold row press run crunch crunch pull press
15,Exercise_15_lift,Arms,Beginner,22,944,machine,jump press jump press pull row press push
16,Exercise_16_crunch,Arms,Beginner,90,444,resistance band,pull crunch crunch curl jump run press run
17,Exercise_17_crunch,Core,Advanced,45,290,resistance band,jump jump run push press lift pull press
18,Exercise_18_jump,Arms,Advanced,68,1045,barbell,push jump lift press hold crunch row pull
19,Exercise_19_jump,Arms,Intermediate,94,488,bodyweight,lift press curl curl push press press jump
20,Exercise_20_crunch,Cardio,Advanced,34,744,dumbbell,run lift squat squat crunch press lift crunch
21,Exercise_21_pull,Back,Beginner,49,121,bodyweight,curl press jump jump push jump curl press
22,Exercise_22_lift,Cardio,Intermediate,12,1158,machine,squat curl row crunch press crunch lift curl
23,Exercise_23_pull,Cardio,Intermediate,69,475,kettlebell,press crunch push pull crunch press push lift
24,Exercise_24_jump,Chest,Advanced,11,458,barbell,run curl row press lift push push hold
25,Exercise_25_pull,Cardio,Beginner,6,1424,kettlebell,run lift row jump row press row pull
26,Exercise_26_curl,Legs,Intermediate,76,996,bodyweight,run run crunch lift pull squat pull curl
27,Exercise_27_jump,Cardio,Intermediate,41,280,resistance band,pull row pull hold run squat run curl
28,Exercise_28_hold,Chest,Advanced,104,1210,resistance band,crunch press push crunch hold crunch hold press
29,Exercise_29_press,Arms,Beginner,102,116,bodyweight,jump hold lift curl pull curl push hold
30,Exercise_30_curl,Legs,Advanced,57,381,dumbbell,hold row lift crunch pull hold push hold
31,Exercise_31_pull,Arms,Beginner,82,1081,resistance band,curl push curl run pull press jump hold
32,Exercise_32_press,Legs,Intermediate,22,193,none,crunch press run run lift hold crunch squat
33,Exercise_33_crunch,Full Body,Advanced,61,1227,dumbbell,curl jump crunch run jump curl press hold
34,Exercise_34_row,Chest,Beginner,12,431,dumbbell,lift run jump curl pull row run pull
35,Exercise_35_pull,Legs,Beginner,5,191,barbell,hold press run push hold pull crunch pull
36,Exercise_36_push,Shoulders,Intermediate,18,887,machine,lift push curl push crunch crunch row crunch
37,Exercise_37_row,Legs,Advanced,81,812,resistance band,press push squat press run pull run row
38,Exercise_38_press,Legs,Intermediate,51,562,barbell,jump row row row hold push squat pull
39,Exercise_39_jump,Back,Beginner,51,501,bodyweight,pull hold crunch push press hold crunch press
40,Exercise_40_pull,Core,Beginner,8,515,resistance band,pull lift squat run run crunch press squat
